theta_deg_center,theta_percent_per_1deg_bin,r_formula_no_bg,r_mean_Itot1_bg,r_p05_Itot1_bg,r_p95_Itot1_bg,r_mean_ItotSin2_bg,r_p05_ItotSin2_bg,r_p95_ItotSin2_bg
5.000000000000000000e-01,1.329999999999999932e-02,1.405377037350824011e-04,1.707268098839074470e-04,2.228649761759005429e-05,3.302244185274022981e-04,9.396110785998927683e-08,1.210953212144048912e-09,2.565676468570240826e-07
1.500000000000000222e+00,4.379999999999999866e-02,1.263892988362617410e-03,8.996182804465708378e-04,4.009563585523082336e-04,1.394091538267427672e-03,2.139742371430517723e-06,3.782350059553625485e-07,4.570016233508136960e-06
2.500000000000000444e+00,7.720000000000000473e-02,3.505567646668238720e-03,2.339564835761208644e-03,1.518648945269056218e-03,3.155841058035130462e-03,1.349496351688283086e-05,5.422766569248891473e-06,2.339661866613724846e-05
3.500000000000000000e+00,1.045999999999999985e-01,6.855543685722412413e-03,4.479864130413593187e-03,3.357754085910532715e-03,5.614747735687439581e-03,4.833782337715054010e-05,2.648340651244605041e-05,7.396149463007483293e-05
4.500000000000000000e+00,1.303999999999999881e-01,1.129892761316250369e-02,7.355771866662768124e-03,5.897956157986333423e-03,8.765740555943649787e-03,1.288426929166663979e-04,8.159836867031699918e-05,1.799608817854833403e-04
5.500000000000000000e+00,1.715000000000000135e-01,1.681610765692942780e-02,1.089784516514667387e-02,9.136944038300216439e-03,1.267110505955282816e-02,2.807885566058305137e-04,1.954856536919368057e-04,3.752335097004522451e-04
6.500000000000000000e+00,2.011999999999999900e-01,2.338295853199445426e-02,1.509791642116806686e-02,1.304713031263871927e-02,1.718823624673776126e-02,5.359994633354127911e-04,3.977524945306568993e-04,6.887371163229483737e-04
7.500000000000000888e+00,2.308000000000000052e-01,3.097108978692790157e-02,2.002481787044430028e-02,1.766475491829856345e-02,2.241640026866921834e-02,9.385720240858844762e-04,7.272629617646660669e-04,1.168045569597466783e-03
8.500000000000000000e+00,2.595000000000000084e-01,3.954813300833807249e-02,2.557047447446711766e-02,2.293250637474398765e-02,2.827343751196457339e-02,1.523818081666890398e-03,1.222097350093072484e-03,1.852068134098120095e-03
9.500000000000000000e+00,2.866000000000000214e-01,4.907806254832312864e-02,3.166039841940990196e-02,2.883301375868338803e-02,3.466442676088722641e-02,2.325782290049495469e-03,1.925495933286958290e-03,2.773914405173458306e-03
