source,rod,passes,n,r_min,r_mean,r_std,r_max,ac_lag_r,phi_coverage_frac
good,rod_x1217_y1032_20260630-172753_1782836873332308600,True,1640,0.0133,0.4217,0.1946,0.8649,24.69,1.000
good,rod_x1217_y1032_20260630-172802_1782836882865134000,True,1640,0.0204,0.4195,0.1829,0.8346,21.99,1.000
good,rod_x1217_y1032_20260630-172811_1782836891511493100,True,1640,0.0142,0.4080,0.1852,0.8051,14.96,1.000
good,rod_x1225_y803_20260617-151003_1781705403898081700,True,5000,0.0329,0.5901,0.1855,0.9272,175.27,1.000
good,rod_x1334_y713_20260617-152323_1781706203485919900,True,3000,0.0055,0.3517,0.1609,0.7606,34.40,1.000
good,rod_x1364_y789_20260617-152011_1781706011833616300,True,1500,0.0784,0.6038,0.1472,0.9184,30.32,1.000
good,rod_x1364_y789_20260617-152054_1781706054120327500,True,1500,0.0145,0.6193,0.2070,0.9326,51.54,1.000
good,rod_x1364_y789_20260617-152101_1781706061228005900,True,1500,0.0041,0.3949,0.2028,0.8506,38.84,1.000
good,rod_x1364_y789_20260617-152114_1781706074145937800,True,1500,0.0041,0.3891,0.1521,0.7002,19.51,1.000
good,rod_x1384_y1526_20260630-172556_1782836756626064400,True,1640,0.0242,0.5313,0.2222,0.8771,65.60,1.000
good,rod_x1398_y1461_20260630-172249_1782836569054155600,True,1640,0.0106,0.4730,0.1953,0.8672,28.34,1.000
good,rod_x1398_y1461_20260630-172304_1782836584116967600,True,1640,0.0019,0.4309,0.1936,0.8739,21.29,1.000
good,rod_x1411_y1499_20260630-171731_1782836251339838900,True,1640,0.0073,0.4296,0.2037,0.8927,16.33,1.000
good,rod_x1475_y545_20260630-172425_1782836665264125500,True,1640,0.0222,0.3677,0.1628,0.7620,11.55,1.000
good,rod_x1501_y531_20260630-172217_1782836537738108800,True,1640,0.0036,0.3817,0.1831,0.7583,22.05,1.000
good,rod_x1514_y975_20260617-151652_1781705812005154400,True,1500,0.0140,0.5310,0.2049,0.8429,90.22,1.000
good,rod_x1514_y975_20260617-151708_1781705828980579500,True,1500,0.0368,0.4239,0.1391,0.7212,37.45,1.000
good,rod_x1551_y616_20260630-172340_1782836620888206300,True,1640,0.0071,0.4664,0.2073,0.8508,26.22,1.000
good,rod_x1551_y616_20260630-172346_1782836626254219500,True,1640,0.0056,0.3649,0.1926,0.8159,48.70,1.000
good,rod_x1555_y629_20260630-172322_1782836602811010400,True,1640,0.0190,0.6016,0.2011,0.9099,21.16,1.000
good,rod_x1577_y568_20260630-171922_1782836362152884100,True,1640,0.0152,0.4603,0.2143,0.8966,25.80,1.000
good,rod_x1612_y1259_20260630-172659_1782836819392457900,True,1640,0.0080,0.4480,0.1817,0.8738,59.87,1.000
good,rod_x1612_y1259_20260630-172711_1782836831856100000,True,1640,0.0530,0.6637,0.1573,0.9252,38.22,1.000
good,rod_x1617_y963_20260617-151429_1781705669973151800,True,3000,0.0062,0.5057,0.1714,0.9267,78.04,1.000
good,rod_x1617_y963_20260617-151438_1781705678213654200,True,3000,0.0291,0.6325,0.2148,0.9263,203.10,1.000
good,rod_x1617_y963_20260617-151448_1781705688843635800,True,3000,0.0295,0.6421,0.1712,0.9481,50.20,1.000
good,rod_x1617_y963_20260617-151503_1781705703322794800,True,3000,0.0005,0.4255,0.2035,0.9066,73.18,1.000
good,rod_x1619_y1176_20260630-170938_1782835778802845000,True,1640,0.0176,0.6714,0.1650,0.9017,26.42,1.000
good,rod_x1619_y1176_20260630-170944_1782835784535889100,True,1640,0.0220,0.6479,0.1683,0.9233,15.39,1.000
good,rod_x1621_y1269_20260630-181403_1782839643494260500,True,1640,0.0195,0.5273,0.1902,0.8660,14.66,1.000
good,rod_x1636_y1215_20260630-181303_1782839583088290100,True,1640,0.0329,0.4871,0.1841,0.7992,12.93,1.000
good,rod_x1636_y1276_20260630-171210_1782835930620300900,True,1640,0.0030,0.5691,0.1950,0.8985,9.87,1.000
good,rod_x1636_y1276_20260630-171217_1782835937564455500,True,1640,0.0102,0.5068,0.2091,0.9237,26.19,1.000
good,rod_x1658_y1185_20260630-171801_1782836281492013300,True,1640,0.0260,0.5262,0.1981,0.8866,25.14,1.000
good,rod_x1658_y1185_20260630-171811_1782836291996573600,True,1640,0.0136,0.4622,0.1975,0.8490,37.29,1.000
good,rod_x1810_y1161_20260630-172506_1782836706643939300,True,1640,0.0041,0.4823,0.2161,0.8868,18.43,1.000
good,rod_x1822_y296_20260630-171305_1782835985469197800,True,1640,0.0036,0.6910,0.1771,0.9130,37.39,1.000
good,rod_x1839_y1688_20260630-171552_1782836152322281500,True,1640,0.0122,0.3577,0.1542,0.7067,12.32,1.000
good,rod_x2035_y1531_20260630-181414_1782839654870881500,True,1640,0.0094,0.4503,0.1589,0.8060,13.72,1.000
good,rod_x2155_y1454_20260630-172446_1782836686685683600,True,1640,0.0037,0.4763,0.2024,0.8347,26.85,1.000
good,rod_x821_y1198_20260630-172612_1782836772222235700,True,1640,0.0330,0.4839,0.1980,0.8794,23.92,1.000
bad,rod_x1069_y1407_20260630-172123_1782836483963557600,True,1640,0.0091,0.3498,0.1688,0.8236,12.42,1.000
bad,rod_x1075_y1016_20260617-151754_1781705874984484500,False,1500,0.0103,0.4643,0.1855,0.7971,198.27,0.778
bad,rod_x1075_y1016_20260617-151817_1781705897348905200,False,1500,0.1506,0.5051,0.1237,0.8416,74.57,0.333
bad,rod_x1075_y1016_20260617-151823_1781705903200729000,False,1500,0.0213,0.3481,0.1293,0.6466,54.69,1.000
bad,rod_x1075_y1016_20260617-151835_1781705915266489200,True,1500,0.0220,0.5154,0.1881,0.8418,61.09,0.944
bad,rod_x1075_y1016_20260617-151848_1781705928973113300,False,1500,0.0017,0.4002,0.1463,0.7408,51.82,1.000
bad,rod_x1087_y1205_20260617-165902_1781711942105985200,True,3000,0.0016,0.4325,0.2260,0.8801,256.66,1.000
bad,rod_x1087_y1205_20260617-165915_1781711955832174000,True,3000,0.0059,0.5242,0.2085,0.8865,133.84,1.000
bad,rod_x1087_y1205_20260617-165932_1781711972861065300,True,3000,0.0018,0.4579,0.2001,0.8528,,1.000
bad,rod_x1087_y1205_20260617-165945_1781711985976367600,True,3000,0.0063,0.4497,0.1643,0.7498,155.19,1.000
bad,rod_x1087_y1205_20260617-165955_1781711995756812600,False,3000,0.0457,0.5357,0.1707,0.8469,210.04,0.611
bad,rod_x1087_y1205_20260617-170012_1781712012039362000,True,3000,0.0323,0.5012,0.1283,0.7899,63.55,0.944
bad,rod_x1087_y1205_20260617-170019_1781712019676029200,False,3000,0.0579,0.3082,0.0941,0.5770,99.87,0.444
bad,rod_x1087_y1205_20260617-170037_1781712037345208400,True,3000,0.0385,0.6639,0.2037,0.9153,124.03,1.000
bad,rod_x1101_y1030_20260617-151746_1781705866270075900,False,1500,0.0164,0.3063,0.0790,0.5548,25.74,0.444
bad,rod_x1132_y1102_20260617-144906_1781704146842743300,True,5000,0.0032,0.3361,0.1616,0.7660,391.09,1.000
bad,rod_x1161_y1247_20260630-181252_1782839572993989500,False,1640,0.0117,0.2536,0.1267,0.6608,15.47,1.000
bad,rod_x1174_y1031_20260617-144738_1781704058744935100,False,5000,0.0009,0.2788,0.1224,0.6082,344.91,1.000
bad,rod_x1183_y1188_20260617-144807_1781704087099347800,True,5000,0.0052,0.3669,0.1305,0.7562,226.96,1.000
bad,rod_x1183_y915_20260617-151126_1781705486710732600,False,1500,0.0096,0.3347,0.1861,0.7780,115.67,0.944
bad,rod_x1186_y1008_20260617-151149_1781705509090997100,True,3000,0.1820,0.7399,0.1459,0.9137,,1.000
bad,rod_x1186_y1008_20260617-151217_1781705537039736200,True,3000,0.0360,0.4426,0.2124,0.9625,173.77,0.611
bad,rod_x1186_y1008_20260617-151242_1781705562085860700,False,3000,0.0157,0.3287,0.1021,0.5797,186.77,0.556
bad,rod_x1205_y833_20260617-151025_1781705425358786900,True,5000,0.0310,0.5612,0.1792,0.9015,162.17,1.000
bad,rod_x1205_y833_20260617-151054_1781705454009596600,True,5000,0.0116,0.5321,0.2115,0.9348,305.24,1.000
bad,rod_x1317_y1505_20260630-171950_1782836390097764100,True,1640,0.0032,0.3110,0.1483,0.7348,26.56,1.000
bad,rod_x1325_y1132_20260617-145243_1781704363641933500,False,5000,0.0140,0.4477,0.1459,0.7182,,0.500
bad,rod_x1325_y1159_20260617-145644_1781704604845773700,False,5000,0.1168,0.3297,0.0588,0.5315,0.99,0.278
bad,rod_x1325_y993_20260617-170137_1781712097222555900,True,3000,0.0518,0.4865,0.1477,0.7989,187.14,0.667
bad,rod_x1325_y993_20260617-170153_1781712113441061600,True,3000,0.0769,0.5594,0.1705,0.9127,313.70,0.944
bad,rod_x1325_y998_20260617-170216_1781712136249567600,True,3000,0.0815,0.5887,0.1401,0.8431,97.64,1.000
bad,rod_x1325_y998_20260617-170224_1781712144597816600,True,3000,0.0065,0.4397,0.1983,0.7988,241.97,1.000
bad,rod_x1325_y998_20260617-170236_1781712156969743500,True,3000,0.0179,0.5288,0.1563,0.8061,171.27,1.000
bad,rod_x1325_y998_20260617-170248_1781712168747708100,True,3000,0.0064,0.4017,0.1814,0.7931,86.80,1.000
bad,rod_x1325_y998_20260617-170300_1781712180898379600,True,3000,0.0523,0.4896,0.1530,0.8431,100.32,1.000
bad,rod_x1325_y998_20260617-170307_1781712187168989400,True,3000,0.0013,0.4696,0.2290,0.8170,152.98,1.000
bad,rod_x1325_y998_20260617-170320_1781712200546998600,True,3000,0.0097,0.4279,0.2027,0.8903,127.33,1.000
bad,rod_x1325_y998_20260617-170336_1781712216547501400,True,3000,0.0270,0.5963,0.1550,0.8423,136.93,1.000
bad,rod_x1364_y789_20260617-152023_1781706023627723500,True,1500,0.0102,0.4014,0.1497,0.7333,37.12,1.000
bad,rod_x1379_y1492_20260630-172013_1782836413244497600,False,1640,0.0062,0.2719,0.1290,0.6299,15.31,1.000
bad,rod_x1384_y1230_20260617-145135_1781704295063914100,False,5000,0.0025,0.4312,0.1983,0.7651,,1.000
bad,rod_x1384_y1230_20260617-145202_1781704322202892200,False,5000,0.2706,0.4962,0.0730,0.6601,,0.444
bad,rod_x1398_y1461_20260630-172239_1782836559783625400,True,1640,0.0066,0.3268,0.1670,0.8242,15.90,1.000
bad,rod_x1407_y667_20260617-171301_1781712781396062300,False,3000,0.0041,0.3884,0.1856,0.7749,236.58,1.000
bad,rod_x1411_y1499_20260630-171739_1782836259333555200,False,1640,0.0043,0.2516,0.1157,0.6369,8.29,1.000
bad,rod_x1415_y696_20260617-171242_1781712762367702900,True,3000,0.0093,0.3694,0.1688,0.7457,102.53,1.000
bad,rod_x1444_y996_20260617-171129_1781712689406850200,True,3000,0.0093,0.4877,0.1861,0.8484,207.15,0.889
bad,rod_x1444_y996_20260617-171138_1781712698696472600,True,3000,0.0072,0.4992,0.2132,0.8928,258.93,1.000
bad,rod_x1444_y996_20260617-171157_1781712717319871300,True,3000,0.0513,0.4848,0.1777,0.8199,197.92,1.000
bad,rod_x1444_y996_20260617-171230_1781712750011040700,False,3000,0.0059,0.2369,0.1256,0.6337,120.65,1.000
bad,rod_x1456_y996_20260617-170855_1781712535111107400,False,3000,0.0463,0.3085,0.0902,0.5635,127.84,0.500
bad,rod_x1456_y996_20260617-170908_1781712548810217500,True,3000,0.0167,0.4367,0.2339,0.9387,,0.944
bad,rod_x1456_y996_20260617-170932_1781712572934859300,True,3000,0.0083,0.6492,0.1560,0.9125,169.19,0.722
bad,rod_x1456_y996_20260617-170948_1781712588928769300,False,3000,0.0492,0.4498,0.1740,0.7771,,0.722
bad,rod_x1456_y996_20260617-170958_1781712598609471600,True,3000,0.0151,0.5036,0.1916,0.8170,,1.000
bad,rod_x1456_y996_20260617-171021_1781712621097059700,True,3000,0.0154,0.5045,0.2620,0.8758,,0.833
bad,rod_x1456_y996_20260617-171032_1781712632699851500,False,3000,0.0392,0.3777,0.1344,0.8433,257.66,0.944
bad,rod_x1457_y517_20260630-181115_1782839475289455100,True,1640,0.0105,0.2898,0.1506,0.6679,18.35,1.000
bad,rod_x1463_y954_20260617-170827_1781712507411063400,False,3000,0.0075,0.3376,0.1203,0.5938,99.16,1.000
bad,rod_x1475_y545_20260630-172434_1782836674104141800,True,1640,0.0148,0.4267,0.1996,0.8213,30.08,1.000
bad,rod_x1514_y975_20260617-151631_1781705791629382900,False,1500,0.0696,0.2761,0.0596,0.4583,4.62,0.278
bad,rod_x1514_y975_20260617-151641_1781705801458315800,True,1500,0.0532,0.4438,0.1506,0.7908,34.81,1.000
bad,rod_x1519_y571_20260630-172109_1782836469415904700,False,1640,0.0022,0.1766,0.0922,0.5212,15.90,1.000
bad,rod_x1529_y1230_20260630-173001_1782837001737000900,False,1640,0.0116,0.2377,0.1078,0.5364,12.19,1.000
bad,rod_x1539_y611_20260630-172408_1782836648361393000,True,1640,0.0069,0.3699,0.1545,0.7919,13.56,1.000
bad,rod_x1543_y1261_20260630-172045_1782836445523364600,True,1640,0.0072,0.2988,0.1459,0.6751,27.03,1.000
bad,rod_x1577_y568_20260630-171908_1782836348207448600,True,1640,0.0173,0.3261,0.1447,0.7041,9.59,1.000
bad,rod_x1592_y1237_20260630-173014_1782837014291453500,True,1640,0.0155,0.3668,0.2086,0.8783,34.73,1.000
