dataset,rod,source,n_frames,whole_ratio_med,whole_imbal_med,whole_imbal_p05,whole_imbal_p95,patch_ratio_med,patch_imbal_med,patch_imbal_p05,patch_imbal_p95
25nm,rod_x2286_y1381_20260707-160233_1783436553492593400,good,5001,0.9796958635168618,-0.010256189780115317,-0.01748589695877655,-0.002610953916547124,nan,nan,nan,nan
25nm,rod_x2286_y1381_20260707-160245_1783436565623485600,good,5001,0.9830562823867426,-0.0085442444391263,-0.016626730965296807,-0.0009058193973347249,nan,nan,nan,nan
25nm,rod_x910_y668_20260707-160542_1783436742298770000,good,5001,0.9781395230286913,-0.01105102886667898,-0.0213595815050533,-0.0005769149589827535,1.0125922929098816,0.006256753021584542,-0.038871309548001276,0.04761677788369876
25nm,rod_x1032_y536_20260707-153209_1783434729290890300,pending,5001,0.9851314967065724,-0.007489933698646725,-0.02190808979246082,0.005794424886016045,nan,nan,nan,nan
25nm,rod_x1179_y1556_20260707-145356_1783432436150558800,pending,5001,0.9794112140110325,-0.010401469812453386,-0.020427202436039047,-0.00017988712083167813,0.998530087276068,-0.0007354969201066471,-0.041200914860032856,0.051457358762144655
25nm,rod_x1307_y1373_20260707-153036_1783434636424726600,pending,5001,0.9772544944025089,-0.011503580172346223,-0.024175628393124916,0.0004908849404200435,nan,nan,nan,nan
25nm,rod_x1307_y1373_20260707-153046_1783434646258483800,pending,5001,0.9877028634339582,-0.006186607058963162,-0.020288296654732373,0.0090628579875097,nan,nan,nan,nan
25nm,rod_x1307_y1373_20260707-153118_1783434678183568400,pending,5001,0.9918720829118529,-0.004080541696364932,-0.015770806951304422,0.007074800561274052,nan,nan,nan,nan
40nm,rod_x1217_y1032_20260630-172753_1782836873332308600,good,1641,0.9751074777805003,-0.012603122867760254,-0.02187050033446333,-0.0027461035209884834,nan,nan,nan,nan
40nm,rod_x1217_y1032_20260630-172802_1782836882865134000,good,1641,0.9746761802097771,-0.012824289898272187,-0.02165319821526525,-0.004439552829442026,nan,nan,nan,nan
40nm,rod_x1217_y1032_20260630-172811_1782836891511493100,good,1641,0.9706496575097258,-0.014893739421629986,-0.023139234788452694,-0.005879719444858976,nan,nan,nan,nan
40nm,rod_x1225_y803_20260617-151003_1781705403898081700,good,5001,0.9604816147082335,-0.020157488341275707,-0.04134653907204836,-0.0017784716882568042,nan,nan,nan,nan
40nm,rod_x1334_y713_20260617-152323_1781706203485919900,good,3001,0.9758744455355026,-0.012210064520551466,-0.027100073046018993,0.002869734549554166,nan,nan,nan,nan
40nm,rod_x1364_y789_20260617-152011_1781706011833616300,good,1501,0.9680495099345592,-0.0162345966928968,-0.029133554738465187,-0.0031968144024901502,nan,nan,nan,nan
40nm,rod_x1364_y789_20260617-152054_1781706054120327500,good,1501,0.9676019426812849,-0.016465757944193606,-0.02921445263347115,-0.0035086328225662575,0.9690316697646687,-0.015727695349375702,-0.040978214603567695,0.012452061928885943
40nm,rod_x1364_y789_20260617-152101_1781706061228005900,good,1501,0.96498613998614,-0.017818883961241063,-0.03327217228812771,-0.0032533624136677573,0.9744835965978129,-0.012923076923076923,-0.0808026447297609,0.05138483965014577
